,Movie,Year,Rated,Released,Runtime,Genre,Director,imdbRating,Actors,Plot,Country
57,Maine Pyar Kiya,1989,Not Rated,29 Dec 1989,192 min,"Drama, Musical, Romance",Sooraj R. Barjatya,7.3,"Salman Khan, Bhagyashree, Alok Nath","After Suman's father leaves her in the care of another family while he travels abroad, she falls in love with Prem. However, in order to for them to marry, Prem has to prove to Suman's father that he is not the same as his own dad.",India
58,Khakee,2004,Not Rated,23 Jan 2004,174 min,"Action, Crime, Drama",Rajkumar Santoshi,7.4,"Amitabh Bachchan, Akshay Kumar, Ajay Devgn",A team of police force escorts an alleged terrorist from Chandangarh to Mumbai. However their trip turns into a deadly survival when an ex-cop tries to stop them to reach Mumbai.,India
59,The Lunchbox,2013,PG,20 Sep 2013,104 min,"Drama, Romance",Ritesh Batra,7.8,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui","A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an old man in the dusk of his life as they build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.
","India, France, Germany, United States, Canada"
60,Dil Se,1998,Not Rated,21 Aug 1998,163 min,"Drama, Romance",Mani Ratnam,7.6,"Shah Rukh Khan, Manisha Koirala, Preity Zinta",The clash between love and ideology is portrayed in this love story between a radio executive and a beautiful revolutionary.,India
61,Kabhi Khushi Kabhie Gham…,2001,Not Rated,14 Dec 2001,210 min,"Drama, Musical, Romance",Karan Johar,7.4,"Shah Rukh Khan, Kajol, Amitabh Bachchan","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again.",India
62,Jodhaa Akbar,2008,Not Rated,15 Feb 2008,213 min,"Action, Drama, History",Ashutosh Gowariker,7.6,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood","A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.",India
63,Ghajini,2008,Not Rated,24 Dec 2008,186 min,"Action, Drama, Mystery",A.R. Murugadoss,7.3,"Aamir Khan, Asin Thottumkal, Jiah Khan",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,"India, United States, United Kingdom, Australia, Canada"
64,Kaala Patthar,1979,Not Rated,29 Mar 2020,176 min,"Action, Drama, History",Yash Chopra,7.7,"Amitabh Bachchan, Shashi Kapoor, Shatrughan Sinha",Inspired by a true mining tragedy the film is about people from all walks of life showing courage and character to fight the forces of nature.,India
65,Chak De! India,2007,Not Rated,10 Aug 2007,153 min,"Drama, Family, Sport",Shimit Amin,8.2,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",India
66,Ek Tha Tiger,2012,Not Rated,15 Aug 2012,132 min,"Action, Romance, Thriller",Kabir Khan,5.5,"Salman Khan, Katrina Kaif, Girish Karnad",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,India
67,Ankur,1974,N/A,02 Jan 2019,131 min,Drama,Shyam Benegal,8.0,"Shabana Azmi, Sadhu Meher, Anant Nag","Belonging to a lower caste, Lakshmi and her deaf-mute husband Kishtayya serve the landlord's son, Surya. When Surya's young wife finds out about his affair with Lakshmi, they all find themselves at crossroads.",India
68,Gol Maal,,,,,,,,,,
69,Barfi!,2012,Not Rated,14 Sep 2012,151 min,"Comedy, Drama, Romance",Anurag Basu,8.1,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,India
70,Prem Rog,1982,N/A,31 Jul 1982,183 min,"Drama, Musical, Romance",Raj Kapoor,7.2,"Shammi Kapoor, Nanda, Tanuja","Manorama, the daughter of a rich, orthodox family is married off, leaving her childhood friend Deodhar and his secret love for her, in despair. When tragedy befalls her, and traditions seem unfair, Deodhar must fight for what's right",India
